decade,genre,avg_rating,rating_count,movie_count,avg_revenue
1950,Children,,0,44,0.0
1950,Documentary,,0,10,0.0
1930,Crime,,0,69,0.0
1930,Drama,,0,246,0.0
1980,Unknown,,0,226,0.0
1990,Children,1.0,1,82,0.0
1990,Horror,1.875,4,133,0.0
1990,Mystery,,0,44,0.0
1960,Drama,4.214285714285714,7,368,0.0
1960,Horror,4.5,5,72,0.0
2010,Documentary,3.6875,8,1294,0.0
2010,Drama,3.65,30,3227,0.0
2010,Mystery,2.375,4,371,0.0
1970,Science Fiction,,0,4,0.0
1970,Horror,,0,211,0.0
2010,Comedy,3.5,38,2112,0.0
2010,Action,3.377551020408163,49,860,0.0
2010,Crime,3.3181818181818183,11,498,0.0
2010,Thriller,3.142857142857143,14,1319,0.0
2000,Fantasy,3.6,5,90,0.0
1970,Crime,,0,170,0.0
1940,Unknown,,0,97,0.0
2000,Crime,3.7346938775510203,49,141,0.0
2000,Drama,3.7777777777777777,18,948,0.0
1950,Drama,,0,292,0.0
2010,Fantasy,3.1818181818181817,11,337,0.0
2010,Horror,3.0384615384615383,13,992,0.0
1970,Action,2.5,1,251,0.0
1990,Crime,2.5,2,113,0.0
1990,Drama,3.3636363636363638,11,566,0.0
1960,Action,,0,110,0.0
1960,Romance,3.0,1,91,0.0
1960,War,,0,52,0.0
1990,Unknown,,0,208,0.0
1970,Thriller,,0,172,0.0
1950,Animation,,0,132,0.0
1950,Comedy,,0,198,0.0
1940,Comedy,,0,271,0.0
1940,Drama,,0,248,0.0
2010,Animation,3.5833333333333335,6,405,0.0
1980,Comedy,3.287878787878788,33,397,0.0
1970,Unknown,,0,221,0.0
1960,Crime,,0,110,0.0
2010,Romance,3.3333333333333335,3,775,0.0
1980,Crime,3.0,1,110,0.0
1980,Drama,4.25,4,511,0.0
2000,Comedy,3.2419354838709675,31,603,0.0
2000,Romance,3.5625,8,289,0.0
1970,Adventure,2.5,1,107,0.0
2000,Documentary,,0,376,0.0
1950,Fantasy,,0,21,0.0
1990,Animation,3.875,4,76,0.0
2000,Animation,4.4,5,131,0.0
2000,Children,4.25,4,121,0.0
1950,Thriller,,0,50,0.0
1970,Animation,3.7,5,71,0.0
1930,Comedy,,0,238,0.0
1930,Romance,,0,173,0.0
1960,Western,,0,72,0.0
2000,Unknown,,0,292,0.0
2010,Sci-Fi,3.590909090909091,33,485,0.0
1970,Sci-Fi,2.5,1,67,0.0
2010,Children,2.7,5,388,0.0
1930,Animation,3.0,1,128,0.0
2000,Adventure,3.7,5,125,0.0
2000,Western,,0,14,0.0
1970,Comedy,4.25,2,355,0.0
1970,Drama,4.0,1,637,0.0
2010,Unknown,4.0,1,687,0.0
2010,Adventure,3.482142857142857,28,383,0.0
1960,Unknown,,0,165,0.0
1970,Children,3.5,4,74,0.0
1970,Fantasy,3.5,2,46,0.0
1990,Documentary,2.5,2,96,0.0
1960,Animation,,0,50,0.0
1980,Action,,0,236,0.0
1980,Sci-Fi,3.2,5,137,0.0
1960,Comedy,,0,256,0.0
1980,Horror,,0,223,0.0
1930,Western,,0,29,0.0
2000,Thriller,3.7872340425531914,47,339,0.0
1920,Drama,2.0,1,60,0.0
1990,Thriller,2.3333333333333335,6,214,0.0
1980,War,,0,38,0.0
1930,Unknown,,0,146,0.0
1950,Romance,,0,99,0.0
2000,Action,3.0208333333333335,24,316,0.0
2010,War,4.5,1,136,0.0
1950,Unknown,,0,140,0.0
1940,Animation,2.0,1,171,0.0
1940,Children,,0,54,0.0
1970,Western,,0,49,0.0
2000,Horror,3.1,5,280,0.0
1980,Romance,3.25,6,117,0.0
2000,Sci-Fi,3.0714285714285716,7,133,0.0
1980,Thriller,,0,160,0.0
1960,Sci-Fi,,0,36,0.0
1890,Unknown,,0,15,0.0
1980,Documentary,,0,66,0.0
1920,Comedy,2.0,1,39,0.0
1920,Romance,,0,27,0.0
1980,Western,,0,16,0.0
1960,Thriller,4.5,5,84,0.0
2010,Science Fiction,,0,8,0.0
1990,War,3.25,2,29,0.0
2000,Mystery,3.5,1,109,0.0
2000,War,4.2,5,42,0.0
1990,Action,3.0,1,240,0.0
1990,Sci-Fi,3.5,2,95,0.0
1950,Action,,0,72,0.0
1950,Adventure,,0,84,0.0
1990,Comedy,3.234375,32,331,0.0
1990,Romance,3.0,10,164,0.0
1950,Western,,0,109,0.0
1980,Adventure,3.5,11,96,0.0
1960,Documentary,,0,50,0.0
1970,War,,0,41,0.0
1940,Horror,,0,27,0.0
1960,Adventure,,0,116,0.0
1980,Animation,,0,85,0.0
1940,Western,,0,54,0.0
1910,Drama,,0,12,0.0
1940,Crime,,0,75,0.0
1940,Mystery,,0,74,0.0
1950,Crime,,0,80,0.0
1980,Children,0.5,1,85,0.0
1970,Romance,4.0,1,103,0.0
2010,Western,4.5,1,48,0.0
1920,Documentary,,0,11,0.0
1980,Mystery,3.0,1,50,0.0
1970,Documentary,4.0,1,58,0.0
1960,Mystery,,0,39,0.0
1940,Fantasy,,0,17,0.0
1950,Horror,,0,24,0.0
1940,Thriller,,0,48,0.0
1920,Action,,0,3,0.0
1920,Adventure,,0,6,0.0
1990,Family,,0,3,0.0
1990,Fantasy,3.4285714285714284,7,73,0.0
1940,Action,,0,41,0.0
1980,Music,,0,3,0.0
1970,History,,0,5,0.0
1960,Fantasy,3.5,1,38,0.0
1980,Fantasy,,0,75,0.0
1960,Musical,,0,3,0.0
1940,Musical,,0,13,0.0
1940,Romance,,0,139,0.0
1920,Mystery,,0,3,0.0
1940,Documentary,,0,9,0.0
1940,War,,0,52,0.0
1930,Action,,0,31,0.0
1970,Mystery,,0,61,0.0
1980,[],,0,5,0.0
1990,Adventure,3.75,6,83,0.0
1990,Western,,0,13,0.0
1930,Horror,,0,9,0.0
1930,Mystery,,0,39,0.0
1950,War,,0,43,0.0
1930,Adventure,,0,31,0.0
2000,[],,0,13,0.0
1910,Adventure,,0,6,0.0
1960,Children,,0,36,0.0
1990,History,5.0,1,4,0.0
1990,Foreign,,0,9,0.0
1920,Animation,,0,18,0.0
1980,Musical,,0,2,0.0
1950,Mystery,,0,35,0.0
1920,Horror,,0,6,0.0
1950,Sci-Fi,,0,28,0.0
2010,IMAX,,0,1,0.0
1900,Comedy,,0,21,0.0
1900,Romance,,0,4,0.0
1920,Children,,0,3,0.0
1930,Musical,,0,11,0.0
1910,Unknown,,0,13,0.0
1950,Musical,,0,7,0.0
1900,Unknown,,0,23,0.0
1910,Action,,0,2,0.0
1910,War,,0,4,0.0
2000,Foreign,,0,11,0.0
1890,Documentary,,0,15,0.0
1930,Children,,0,21,0.0
1930,Fantasy,,0,8,0.0
1910,Fantasy,,0,6,0.0
1920,[],,0,1,0.0
1900,Fantasy,,0,22,0.0
1900,Documentary,,0,3,0.0
1940,Adventure,,0,45,0.0
2000,History,,0,5,0.0
1890,Comedy,,0,6,0.0
1920,Fantasy,,0,6,0.0
2000,Musical,,0,4,0.0
1960,Family,3.5,1,3,0.0
1990,[],,0,9,0.0
1990,Science Fiction,3.5,1,5,0.0
2000,Science Fiction,,0,3,0.0
2010,TV Movie,,0,5,0.0
1880,Documentary,,0,3,0.0
1900,Sci-Fi,,0,2,0.0
1940,Film-Noir,,0,2,0.0
1940,Sci-Fi,,0,9,0.0
1960,[],,0,8,0.0
1910,Comedy,,0,32,0.0
2000,TV Movie,,0,2,0.0
2000,Family,,0,5,0.0
1980,Family,,0,8,0.0
1980,Science Fiction,,0,6,0.0
1980,History,,0,1,0.0
1900,Crime,,0,2,0.0
1930,[],,0,2,0.0
1890,Drama,,0,3,0.0
1930,War,,0,12,0.0
1900,Drama,,0,8,0.0
2010,[],,0,11,0.0
1900,Adventure,,0,1,0.0
1900,Action,,0,4,0.0
1920,Unknown,,0,27,0.0
1930,Thriller,,0,19,0.0
