genre,avg_rating,rating_count,movie_count,total_revenue,avg_revenue,avg_budget,avg_roi
Documentary,3.680722891566265,166,5558,988086261.1751901,177681.39924027876,83510.50962057184,1.0793655520767187
Music,3.5721784776902887,381,1537,12461860842.077763,8097375.465937467,2886852.635477583,0.5266690301527498
Action,3.4590869939707147,3483,8168,183816965423.32425,22488006.535762694,9372637.751896257,125.32793661537407
Crime,3.652790079716563,2258,5455,56310645398.60645,10313305.01805979,4907716.964102564,2270.9027663100037
Children,3.066666666666667,15,914,0.0,0.0,0.0,0.0
Drama,3.6751636238374097,5806,26261,149630238114.33386,5690011.716710418,2631770.1118758796,993.4951895269438
Animation,3.622549019607843,816,2964,64047072983.322014,21557412.650057897,6616869.104678559,0.46189895501911915
Adventure,3.469520789288231,2838,4307,185234232657.03055,42898154.85341143,15081825.338582678,237.08255750197264
Family,3.4615916955017303,1445,2609,101518298702.16632,38821529.14040777,12727437.931931166,390.2659924643721
Romance,3.5063321967851926,2053,8429,69646918899.88594,8253960.523807293,3073275.0532116615,1590.3817844169316
Unknown,3.0,2,2409,0.0,0.0,0.0,0.0
Comedy,3.411800048065369,4161,17175,152108593608.839,8850726.964322064,3433904.8386477367,739.2461105752733
History,3.7285407725321886,466,1328,14040911117.924171,10572975.239400731,6508630.793674699,3162.812202214703
War,3.721797323135755,523,1697,13752861276.499908,8094679.97439665,4513105.57386698,2470.9383022481375
[],3.125,12,2225,184171073.38918903,82773.5161299726,48794.64898876404,-0.0035847994015493446
Science Fiction,3.470933072789448,2047,2769,86993139160.60204,31337586.152954623,12623226.157420749,0.8212508099130963
Foreign,3.28,25,1525,267170491.80153698,174621.2364715928,220650.8843137255,-0.000272340490866209
Horror,3.198876404494382,890,6222,29505941542.98867,4739910.288030309,1838169.2756626506,164.1970701593851
Mystery,3.6148760330578513,1210,3160,32560602653.15401,10281213.341696877,4535596.757183454,5.707190278382242
Thriller,3.533127208480565,3396,9497,119179309822.13026,12533316.839008335,5725128.167946156,105.87269193895575
Fantasy,3.430735930735931,1617,2873,98759237365.53331,34291401.8630324,11747347.771527778,0.7482835269862589
TV Movie,3.4615384615384617,13,685,42000011.526477,61135.3879570262,259751.09170305677,-0.03435225618631732
Western,3.63659793814433,194,1426,4753445432.863169,3333411.9445043257,2217138.448106592,0.14617317270268965
Sci-Fi,3.3979591836734695,49,1011,0.0,0.0,0.0,0.0
Musical,4.0,1,47,0.0,0.0,0.0,0.0
IMAX,,0,1,0.0,0.0,0.0,0.0
Film-Noir,,0,5,0.0,0.0,0.0,0.0
