decade,genre,rating_count,avg_rating,avg_revenue
,Drama,9197128,3.674223029189112,
,Comedy,7413548,3.459681787991391,
,Action,7404642,3.469586578257261,
,Thriller,6584329,3.5230681820425436,
,Adventure,5827384,3.5178109079477173,
,Romance,4480035,3.54383749234102,
,Sci-Fi,4285709,3.47874214044864,
,Crime,4183332,3.685690975519036,
,"",4105129,3.479240847242559,
,a,3825326,3.6924872546810388,
,m,3552345,3.5044504404836805,
,r,2988818,3.5625611863954245,
,Fantasy,2823519,3.511299020831806,
,o,2221684,3.275478870982552,
,Children,2121977,3.433215345877924,
,e,2057231,3.3452057644474538,
,Mystery,2007012,3.669927982493378,
,D,2000686,3.69998240603473,
,y,1763695,3.3206518133804312,
,Horror,1705649,3.314297373023406,
,Animation,1619367,3.6158440304143533,
,C,1521890,3.248575126980268,
,d,1520003,3.247854773970841,
,War,1263156,3.792035188052782,
,IMAX,1063252,3.6037406936455327,
,Musical,954515,3.5571321561211713,
,n,458070,3.5419531949265397,
,Western,438682,3.585448001057714,
,l,373078,3.5121596556216126,
,t,351015,3.614886828198225,
,i,349814,3.4145088532763124,
,c,344281,3.5781353022676243,
,u,249758,3.7249677688001985,
,Film-Noir,244053,3.926696250404625,
,H,186534,3.1039730022408785,
,h,181224,3.5097641592725024,
,T,178943,3.5191429673136136,
,Documentary,87468,3.5707115745186813,
,s,66835,3.564315104361487,
,A,58963,3.0627766565473262,
,F,51271,3.472421056737727,
,W,49239,3.5913909705721077,
,-,43205,3.44616363846777,
,S,40031,3.4140416177462467,
,k,26627,3.326379239118188,
,w,26627,3.326379239118188,
,U,26627,3.326379239118188,
,R,17256,3.2505505331478908,
,M,13747,3.4535171310104023,
,v,5040,3.093948412698413,
,N,3174,3.851291745431632,
,X,27,2.4814814814814814,
,I,27,2.4814814814814814,
