segment,genre,rating_count,avg_rating,genre_rank
Heavy,Drama,5806,3.6751636238374097,1
Heavy,Comedy,4161,3.411800048065369,2
Heavy,Action,3483,3.4590869939707147,3
Heavy,Thriller,3396,3.533127208480565,4
Heavy,Adventure,2838,3.469520789288231,5
Heavy,Crime,2258,3.652790079716563,6
Heavy,Romance,2053,3.5063321967851926,7
Heavy,Science Fiction,2047,3.470933072789448,8
Heavy,Fantasy,1617,3.430735930735931,9
Heavy,Family,1445,3.4615916955017303,10
Heavy,Mystery,1210,3.6148760330578513,11
Heavy,Horror,890,3.198876404494382,12
Heavy,Animation,816,3.622549019607843,13
Heavy,War,523,3.721797323135755,14
Heavy,History,466,3.7285407725321886,15
Heavy,Music,381,3.5721784776902887,16
Heavy,Western,194,3.63659793814433,17
Heavy,Documentary,166,3.680722891566265,18
Heavy,Sci-Fi,49,3.3979591836734695,19
Heavy,Foreign,25,3.28,20
Heavy,Children,15,3.066666666666667,21
Heavy,TV Movie,13,3.4615384615384617,22
Heavy,[],12,3.125,23
Heavy,Unknown,2,3.0,24
Heavy,Musical,1,4.0,25
