rating_year,rating_count,avg_rating,active_users
1996,680,3.5338235294117646,661
1997,313,3.562300319488818,302
1998,139,3.460431654676259,130
1999,472,3.61228813559322,450
2000,868,3.5483870967741935,803
2001,508,3.561023622047244,467
2002,392,3.556122448979592,364
2003,454,3.5088105726872247,419
2004,561,3.519607843137255,509
2005,792,3.417929292929293,710
2006,519,3.47495183044316,481
2007,471,3.4012738853503186,438
2008,548,3.552919708029197,511
2009,435,3.5413793103448277,396
2010,407,3.5933660933660936,379
2011,326,3.5506134969325154,307
2012,342,3.624269005847953,315
2013,271,3.5830258302583027,251
2014,241,3.6099585062240664,232
2015,824,3.5855582524271843,736
2016,834,3.4592326139088727,731
2017,860,3.6203488372093022,754
2018,665,3.581954887218045,594
2019,578,3.557093425605536,504
